dataset - sampling - sim_type - seed - n_SGD - lr - decay - p - force - gpu - mu
['MNIST_shard', 'random', 'any', '0', '50', '0.01', '1.0', '0.1', 'True', '0']
number of iterations 600
batch size 50
percentage of sampled clients 0.1
metric_period 2
regularization term 0.0
MNIST_shard_random_any_i600_N50_lr0.01_B50_d1.0_p0.1_m2_0
./data/MNIST_shard_train_100_500.pkl
./data/MNIST_shard_test_100_80.pkl
number fo sampled clients 10
NN(
  (fc1): Linear(in_features=784, out_features=50, bias=True)
  (fc3): Linear(in_features=50, out_features=10, bias=True)
)
Clients' weights: [0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01]
====> i: 0 Loss: 2.3104257225990295 Test Accuracy: 11.512
====> i: 1 Loss: 2.3020073640346523 Server Test Accuracy: 14.05
====> i: 3 Loss: 2.312284138202667 Server Test Accuracy: 13.712499999999999
====> i: 5 Loss: 2.1903537607192995 Server Test Accuracy: 20.6375
====> i: 7 Loss: 2.0718204128742217 Server Test Accuracy: 19.6625
====> i: 9 Loss: 2.2659838467836377 Server Test Accuracy: 18.1625
====> i: 11 Loss: 2.195142550468444 Server Test Accuracy: 38.8375
====> i: 13 Loss: 2.245262779593468 Server Test Accuracy: 34.012499999999996
====> i: 15 Loss: 1.9367745435237886 Server Test Accuracy: 33.5
====> i: 17 Loss: 1.9377691984176635 Server Test Accuracy: 35.962500000000006
====> i: 19 Loss: 1.8326649117469787 Server Test Accuracy: 41.8375
====> i: 21 Loss: 1.9514600813388825 Server Test Accuracy: 38.45
====> i: 23 Loss: 1.8160737031698226 Server Test Accuracy: 30.65
====> i: 25 Loss: 1.8720113158226013 Server Test Accuracy: 34.8125
====> i: 27 Loss: 1.8159051418304444 Server Test Accuracy: 35.9375
====> i: 29 Loss: 1.809849588274956 Server Test Accuracy: 31.887499999999996
====> i: 31 Loss: 1.5832678282260897 Server Test Accuracy: 61.474999999999994
====> i: 33 Loss: 1.6786068671941758 Server Test Accuracy: 30.750000000000004
====> i: 35 Loss: 1.6214768484234812 Server Test Accuracy: 41.837500000000006
====> i: 37 Loss: 1.5877298742532728 Server Test Accuracy: 42.91250000000001
====> i: 39 Loss: 1.5208009374141696 Server Test Accuracy: 53.474999999999994
====> i: 41 Loss: 1.5482941168546678 Server Test Accuracy: 56.362500000000004
====> i: 43 Loss: 1.5004542693495753 Server Test Accuracy: 48.825
====> i: 45 Loss: 1.5734806793928147 Server Test Accuracy: 47.25000000000001
====> i: 47 Loss: 1.406279967427254 Server Test Accuracy: 59.00000000000001
====> i: 49 Loss: 1.3603680992126463 Server Test Accuracy: 58.325
====> i: 51 Loss: 1.5629182386398315 Server Test Accuracy: 43.9125
====> i: 53 Loss: 1.351775507628918 Server Test Accuracy: 55.175000000000004
====> i: 55 Loss: 1.2428102719783785 Server Test Accuracy: 69.67499999999998
====> i: 57 Loss: 1.2709252232313157 Server Test Accuracy: 60.15
====> i: 59 Loss: 1.4668320629000664 Server Test Accuracy: 43.237500000000004
====> i: 61 Loss: 1.5447557228803632 Server Test Accuracy: 44.6375
====> i: 63 Loss: 1.2958936655521394 Server Test Accuracy: 60.0375
====> i: 65 Loss: 1.9107685166597368 Server Test Accuracy: 40.425000000000004
====> i: 67 Loss: 1.5993135040998459 Server Test Accuracy: 47.650000000000006
====> i: 69 Loss: 1.2146141040325165 Server Test Accuracy: 65.91249999999998
====> i: 71 Loss: 1.1380775579810147 Server Test Accuracy: 68.575
====> i: 73 Loss: 1.3162944748997687 Server Test Accuracy: 50.587500000000006
====> i: 75 Loss: 1.381824048757553 Server Test Accuracy: 54.300000000000004
====> i: 77 Loss: 1.2433910077810286 Server Test Accuracy: 59.675000000000004
====> i: 79 Loss: 1.0721851220726966 Server Test Accuracy: 72.15
====> i: 81 Loss: 1.176399640440941 Server Test Accuracy: 68.16250000000001
====> i: 83 Loss: 1.116556753516197 Server Test Accuracy: 65.6875
====> i: 85 Loss: 1.1906231755018235 Server Test Accuracy: 65.7125
====> i: 87 Loss: 1.267815483510494 Server Test Accuracy: 59.25
====> i: 89 Loss: 1.2480755427479746 Server Test Accuracy: 53.175000000000004
====> i: 91 Loss: 1.192326583117247 Server Test Accuracy: 66.60000000000001
====> i: 93 Loss: 1.1678401061892507 Server Test Accuracy: 58.375
====> i: 95 Loss: 1.2338292863965037 Server Test Accuracy: 58.35
====> i: 97 Loss: 1.0960756587982179 Server Test Accuracy: 65.2
====> i: 99 Loss: 1.2581383162736892 Server Test Accuracy: 54.8125
====> i: 101 Loss: 1.0392804580926898 Server Test Accuracy: 68.975
====> i: 103 Loss: 1.0764493402838706 Server Test Accuracy: 64.925
====> i: 105 Loss: 1.0899061392247678 Server Test Accuracy: 67.9375
====> i: 107 Loss: 1.347341309338808 Server Test Accuracy: 46.93750000000001
====> i: 109 Loss: 1.0636580236256123 Server Test Accuracy: 63.737500000000004
====> i: 111 Loss: 1.5002087192237377 Server Test Accuracy: 45.95
====> i: 113 Loss: 1.0229007478058338 Server Test Accuracy: 66.925
====> i: 115 Loss: 0.9600938332080842 Server Test Accuracy: 73.125
====> i: 117 Loss: 1.1028875762224197 Server Test Accuracy: 62.324999999999996
