dataset - sampling - sim_type - seed - n_SGD - lr - decay - p - force - gpu - mu
['CIFAR10_nbal_0.01', 'clustered_2', 'cosine', '0', '100', '0.05', '1.0', '0.1', 'True', '0']
number of iterations 1000
batch size 50
percentage of sampled clients 0.1
metric_period 5
regularization term 0.0
CIFAR10_nbal_0.01_clustered_2_cosine_i1000_N100_lr0.05_B50_d1.0_p0.1_m5_0
./data/CIFAR10_nbal_0.01_train_100.pkl
./data/CIFAR10_nbal_0.01_test_100.pkl
number fo sampled clients 10
CNN_CIFAR_dropout(
  (conv1): Conv2d(3, 32, kernel_size=(3, 3), stride=(1, 1))
  (conv2): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1))
  (conv3): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
  (fc1): Linear(in_features=1024, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=10, bias=True)
  (dropout): Dropout(p=0.2, inplace=False)
)
Clients' weights: [0.00206186 0.00206186 0.00206186 0.00206186 0.00206186 0.00206186
 0.00206186 0.00206186 0.00206186 0.00206186 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.02061856 0.02061856 0.02061856 0.02061856 0.02061856 0.02061856
 0.02061856 0.02061856 0.02061856 0.02061856]
====> i: 0 Loss: 2.2880828999981433 Test Accuracy: 11.129896907216494
====> i: 1 Loss: 2.466840664013145 Server Test Accuracy: 8.948453608247423
====> i: 6 Loss: 2.4942520480795003 Server Test Accuracy: 19.855670103092784
====> i: 11 Loss: 2.1693888650727025 Server Test Accuracy: 18.56701030927835
====> i: 16 Loss: 2.0493660274240155 Server Test Accuracy: 26.19587628865979
====> i: 21 Loss: 1.9661436361135893 Server Test Accuracy: 30.567010309278345
====> i: 26 Loss: 1.9310468977259605 Server Test Accuracy: 30.804123711340207
====> i: 31 Loss: 1.804645022166144 Server Test Accuracy: 34.185567010309285
====> i: 36 Loss: 1.7623425626263178 Server Test Accuracy: 37.81443298969073
====> i: 41 Loss: 1.7721179063787165 Server Test Accuracy: 37.23711340206185
====> i: 46 Loss: 1.733327860746187 Server Test Accuracy: 37.70103092783505
====> i: 51 Loss: 1.698930489218112 Server Test Accuracy: 38.144329896907216
====> i: 56 Loss: 1.637276066824333 Server Test Accuracy: 40.639175257731964
====> i: 61 Loss: 1.6606405959301385 Server Test Accuracy: 42.09278350515465
====> i: 66 Loss: 1.57886003483202 Server Test Accuracy: 42.50515463917525
====> i: 71 Loss: 1.5784338670907558 Server Test Accuracy: 43.876288659793815
====> i: 76 Loss: 1.4697899321919865 Server Test Accuracy: 48.762886597938156
====> i: 81 Loss: 1.5983314382046767 Server Test Accuracy: 43.25773195876289
====> i: 86 Loss: 1.4612633827420853 Server Test Accuracy: 49.72164948453608
====> i: 91 Loss: 1.5191544726337354 Server Test Accuracy: 47.24742268041237
====> i: 96 Loss: 1.5068810011308218 Server Test Accuracy: 46.87628865979381
====> i: 101 Loss: 1.4509447467081324 Server Test Accuracy: 48.948453608247426
====> i: 106 Loss: 1.5011078364455823 Server Test Accuracy: 47.0
====> i: 111 Loss: 1.458444835168799 Server Test Accuracy: 51.26804123711341
====> i: 116 Loss: 1.5587178433678814 Server Test Accuracy: 48.68041237113402
====> i: 121 Loss: 1.4898106996546086 Server Test Accuracy: 46.5360824742268
====> i: 126 Loss: 1.5424550467545224 Server Test Accuracy: 46.649484536082475
====> i: 131 Loss: 1.4732101346414113 Server Test Accuracy: 47.11340206185567
====> i: 136 Loss: 1.4977605185865124 Server Test Accuracy: 48.50515463917527
====> i: 141 Loss: 1.5175545156002046 Server Test Accuracy: 48.97938144329897
====> i: 146 Loss: 1.4197203652760417 Server Test Accuracy: 50.15463917525773
====> i: 151 Loss: 1.4582978197594276 Server Test Accuracy: 49.76288659793815
====> i: 156 Loss: 1.538940807163101 Server Test Accuracy: 46.43298969072165
====> i: 161 Loss: 1.361672450279452 Server Test Accuracy: 51.95876288659793
====> i: 166 Loss: 1.4887713623415562 Server Test Accuracy: 50.43298969072165
====> i: 171 Loss: 1.547561820757758 Server Test Accuracy: 45.886597938144334
====> i: 176 Loss: 1.7187701222208358 Server Test Accuracy: 40.68041237113402
====> i: 181 Loss: 1.373302235308382 Server Test Accuracy: 51.39175257731959
====> i: 186 Loss: 1.445487115678099 Server Test Accuracy: 51.412371134020624
====> i: 191 Loss: 1.60455965451973 Server Test Accuracy: 48.81443298969072
====> i: 196 Loss: 1.555159309168452 Server Test Accuracy: 47.16494845360824
====> i: 201 Loss: 1.4150645714445211 Server Test Accuracy: 52.06185567010309
====> i: 206 Loss: 1.3533222478689608 Server Test Accuracy: 53.02061855670103
====> i: 211 Loss: 1.4805823635809199 Server Test Accuracy: 50.44329896907217
====> i: 216 Loss: 1.489337919667824 Server Test Accuracy: 49.95876288659793
====> i: 221 Loss: 1.3344424014853449 Server Test Accuracy: 53.350515463917525
====> i: 226 Loss: 1.3726089708583868 Server Test Accuracy: 53.50515463917525
====> i: 231 Loss: 1.348082979192439 Server Test Accuracy: 53.19587628865979
====> i: 236 Loss: 1.437135790795395 Server Test Accuracy: 52.1958762886598
====> i: 241 Loss: 1.4526242053693104 Server Test Accuracy: 50.80412371134021
====> i: 246 Loss: 1.3562763329633731 Server Test Accuracy: 53.34020618556701
====> i: 251 Loss: 1.3654885466565791 Server Test Accuracy: 52.8041237113402
====> i: 256 Loss: 1.3560968994479823 Server Test Accuracy: 53.79381443298969
====> i: 261 Loss: 1.4697256020049458 Server Test Accuracy: 50.08247422680413
====> i: 266 Loss: 1.3253575563430786 Server Test Accuracy: 53.55670103092783
====> i: 271 Loss: 1.3316387078811214 Server Test Accuracy: 53.72164948453609
====> i: 276 Loss: 1.3724261201841315 Server Test Accuracy: 53.40206185567009
====> i: 281 Loss: 1.3446400357275894 Server Test Accuracy: 52.1958762886598
====> i: 286 Loss: 1.3604408571400595 Server Test Accuracy: 54.01030927835051
====> i: 291 Loss: 1.403014694507589 Server Test Accuracy: 50.15463917525773
