dataset - sampling - sim_type - seed - n_SGD - lr - decay - p - force - gpu - mu
['CIFAR10_nbal_10.0', 'random', 'any', '0', '100', '0.1', '1.0', '0.1', 'True', '1']
number of iterations 1000
batch size 50
percentage of sampled clients 0.1
metric_period 5
regularization term 0.0
CIFAR10_nbal_10.0_random_any_i1000_N100_lr0.1_B50_d1.0_p0.1_m5_0
./data/CIFAR10_nbal_10.0_train_100.pkl
./data/CIFAR10_nbal_10.0_test_100.pkl
number fo sampled clients 10
CNN_CIFAR_dropout(
  (conv1): Conv2d(3, 32, kernel_size=(3, 3), stride=(1, 1))
  (conv2): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1))
  (conv3): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
  (fc1): Linear(in_features=1024, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=10, bias=True)
  (dropout): Dropout(p=0.2, inplace=False)
)
Clients' weights: [0.00206186 0.00206186 0.00206186 0.00206186 0.00206186 0.00206186
 0.00206186 0.00206186 0.00206186 0.00206186 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.02061856 0.02061856 0.02061856 0.02061856 0.02061856 0.02061856
 0.02061856 0.02061856 0.02061856 0.02061856]
====> i: 0 Loss: 2.304241217780359 Test Accuracy: 10.259793814432989
====> i: 1 Loss: 2.0462933607937135 Server Test Accuracy: 25.711340206185564
====> i: 6 Loss: 1.4677544996910485 Server Test Accuracy: 48.113402061855666
====> i: 11 Loss: 1.513362676826949 Server Test Accuracy: 51.85567010309279
====> i: 16 Loss: 1.4517970212956066 Server Test Accuracy: 54.10309278350516
====> i: 21 Loss: 1.2947230009688546 Server Test Accuracy: 56.27835051546393
====> i: 26 Loss: 1.2998525661291536 Server Test Accuracy: 56.90721649484537
====> i: 31 Loss: 1.2048154145786443 Server Test Accuracy: 57.41237113402062
====> i: 36 Loss: 1.1963630992112702 Server Test Accuracy: 59.041237113402055
====> i: 41 Loss: 1.1624750757954785 Server Test Accuracy: 59.00000000000001
====> i: 46 Loss: 1.1271317163079053 Server Test Accuracy: 60.329896907216494
====> i: 51 Loss: 1.0615373613293635 Server Test Accuracy: 60.32989690721649
====> i: 56 Loss: 1.047796659678528 Server Test Accuracy: 61.67010309278351
====> i: 61 Loss: 1.0450801175279716 Server Test Accuracy: 61.123711340206185
====> i: 66 Loss: 0.9764780301408669 Server Test Accuracy: 62.00000000000001
====> i: 71 Loss: 0.9293488411559272 Server Test Accuracy: 62.16494845360825
====> i: 76 Loss: 0.9214270710945129 Server Test Accuracy: 62.71134020618556
====> i: 81 Loss: 0.8963754320267548 Server Test Accuracy: 62.206185567010316
====> i: 86 Loss: 0.8737403454239835 Server Test Accuracy: 62.74226804123711
====> i: 91 Loss: 0.8620584984722827 Server Test Accuracy: 63.30927835051547
====> i: 96 Loss: 0.8630548091586103 Server Test Accuracy: 63.453608247422686
====> i: 101 Loss: 0.8465387501667455 Server Test Accuracy: 62.938144329896915
====> i: 106 Loss: 0.8373543665888383 Server Test Accuracy: 63.855670103092784
====> i: 111 Loss: 0.8086780072487508 Server Test Accuracy: 64.27835051546391
====> i: 116 Loss: 0.8128696064359135 Server Test Accuracy: 63.90721649484537
====> i: 121 Loss: 0.7874131322214283 Server Test Accuracy: 64.49484536082475
====> i: 126 Loss: 0.7862207051712213 Server Test Accuracy: 63.56701030927835
====> i: 131 Loss: 0.7609317467691972 Server Test Accuracy: 64.34020618556701
====> i: 136 Loss: 0.7440171953636346 Server Test Accuracy: 64.38144329896907
====> i: 141 Loss: 0.7638334414700871 Server Test Accuracy: 64.95876288659794
====> i: 146 Loss: 0.7119774925340083 Server Test Accuracy: 65.01030927835052
====> i: 151 Loss: 0.7125632527562761 Server Test Accuracy: 64.43298969072166
====> i: 156 Loss: 0.7079801504144962 Server Test Accuracy: 65.47422680412372
====> i: 161 Loss: 0.7056130838148373 Server Test Accuracy: 64.8762886597938
====> i: 166 Loss: 0.6875490978821037 Server Test Accuracy: 64.51546391752576
====> i: 171 Loss: 0.6843705900858359 Server Test Accuracy: 64.88659793814433
====> i: 176 Loss: 0.668523818438815 Server Test Accuracy: 65.5257731958763
====> i: 181 Loss: 0.6784953386513227 Server Test Accuracy: 65.18556701030928
====> i: 186 Loss: 0.695673465790208 Server Test Accuracy: 65.0
====> i: 191 Loss: 0.6468374106072888 Server Test Accuracy: 65.21649484536083
====> i: 196 Loss: 0.6487810716801082 Server Test Accuracy: 65.47422680412372
====> i: 201 Loss: 0.632287927386687 Server Test Accuracy: 64.93814432989691
====> i: 206 Loss: 0.6278362081530168 Server Test Accuracy: 65.71134020618557
====> i: 211 Loss: 0.6306287936943095 Server Test Accuracy: 66.24742268041237
====> i: 216 Loss: 0.6169813106969461 Server Test Accuracy: 65.3917525773196
====> i: 221 Loss: 0.6012625180261649 Server Test Accuracy: 65.97938144329896
====> i: 226 Loss: 0.5948386507550466 Server Test Accuracy: 66.09278350515464
====> i: 231 Loss: 0.5962651591325543 Server Test Accuracy: 65.94845360824742
====> i: 236 Loss: 0.597130236060349 Server Test Accuracy: 66.09278350515464
====> i: 241 Loss: 0.6121596131896236 Server Test Accuracy: 65.96907216494846
====> i: 246 Loss: 0.5939518857248052 Server Test Accuracy: 65.57731958762886
====> i: 251 Loss: 0.5671435718683853 Server Test Accuracy: 65.8659793814433
====> i: 256 Loss: 0.587267238915581 Server Test Accuracy: 66.05154639175258
====> i: 261 Loss: 0.5684199688053623 Server Test Accuracy: 66.77319587628867
====> i: 266 Loss: 0.5756834064255055 Server Test Accuracy: 65.87628865979381
====> i: 271 Loss: 0.5665033315567626 Server Test Accuracy: 66.35051546391753
====> i: 276 Loss: 0.5489869344787498 Server Test Accuracy: 65.81443298969072
====> i: 281 Loss: 0.5721706262568838 Server Test Accuracy: 66.04123711340206
====> i: 286 Loss: 0.5453710212842705 Server Test Accuracy: 65.86597938144331
====> i: 291 Loss: 0.5414916276010042 Server Test Accuracy: 66.07216494845362
====> i: 296 Loss: 0.538787218068064 Server Test Accuracy: 66.31958762886597
====> i: 301 Loss: 0.5298060926887177 Server Test Accuracy: 66.92783505154638
====> i: 306 Loss: 0.5337931326369649 Server Test Accuracy: 66.73195876288659
====> i: 311 Loss: 0.5366683686209708 Server Test Accuracy: 65.62886597938144
====> i: 316 Loss: 0.5362354349229752 Server Test Accuracy: 66.9278350515464
====> i: 321 Loss: 0.531425410877798 Server Test Accuracy: 66.59793814432989
====> i: 326 Loss: 0.5228776682283461 Server Test Accuracy: 66.78350515463917
====> i: 331 Loss: 0.5256014354757427 Server Test Accuracy: 66.4639175257732
====> i: 336 Loss: 0.5260563422263282 Server Test Accuracy: 66.37113402061857
====> i: 341 Loss: 0.5139303147946437 Server Test Accuracy: 67.27835051546391
====> i: 346 Loss: 0.5134524269509562 Server Test Accuracy: 66.91752577319589
====> i: 351 Loss: 0.5087119047174748 Server Test Accuracy: 67.12371134020619
====> i: 356 Loss: 0.49512630673413427 Server Test Accuracy: 67.41237113402062
====> i: 361 Loss: 0.5014232256824209 Server Test Accuracy: 67.43298969072166
====> i: 366 Loss: 0.49325562973612364 Server Test Accuracy: 66.86597938144331
====> i: 371 Loss: 0.4943776350045942 Server Test Accuracy: 66.91752577319588
====> i: 376 Loss: 0.49090215490036404 Server Test Accuracy: 67.71134020618558
====> i: 381 Loss: 0.4825111851403394 Server Test Accuracy: 67.12371134020619
====> i: 386 Loss: 0.4774800879746368 Server Test Accuracy: 67.65979381443299
====> i: 391 Loss: 0.4720504800837065 Server Test Accuracy: 66.71134020618557
====> i: 396 Loss: 0.4781065003773601 Server Test Accuracy: 67.48453608247422
====> i: 401 Loss: 0.468086012583418 Server Test Accuracy: 66.93814432989691
====> i: 406 Loss: 0.4681517136772883 Server Test Accuracy: 67.31958762886597
====> i: 411 Loss: 0.4842388186258139 Server Test Accuracy: 67.44329896907216
====> i: 416 Loss: 0.4751225092669123 Server Test Accuracy: 67.78350515463917
====> i: 421 Loss: 0.4808005368279428 Server Test Accuracy: 68.08247422680414
====> i: 426 Loss: 0.47313485010383055 Server Test Accuracy: 66.94845360824742
====> i: 431 Loss: 0.4609138817516799 Server Test Accuracy: 67.72164948453609
====> i: 436 Loss: 0.4720938739549253 Server Test Accuracy: 67.2680412371134
====> i: 441 Loss: 0.45938352893308265 Server Test Accuracy: 66.94845360824742
====> i: 446 Loss: 0.47143052229561755 Server Test Accuracy: 67.28865979381445
====> i: 451 Loss: 0.4460346042802653 Server Test Accuracy: 67.04123711340206
====> i: 456 Loss: 0.462652363605106 Server Test Accuracy: 67.79381443298968
====> i: 461 Loss: 0.47877060208738464 Server Test Accuracy: 67.57731958762886
====> i: 466 Loss: 0.4662676602602005 Server Test Accuracy: 67.5360824742268
====> i: 471 Loss: 0.4501373680903739 Server Test Accuracy: 68.4123711340206
====> i: 476 Loss: 0.43918517158203524 Server Test Accuracy: 67.9278350515464
====> i: 481 Loss: 0.4406281938411526 Server Test Accuracy: 67.69072164948453
====> i: 486 Loss: 0.4527541065646202 Server Test Accuracy: 67.54639175257734
====> i: 491 Loss: 0.43656653626677916 Server Test Accuracy: 67.56701030927834
====> i: 496 Loss: 0.44054680654068584 Server Test Accuracy: 67.7319587628866
====> i: 501 Loss: 0.4492817488066929 Server Test Accuracy: 67.62886597938144
====> i: 506 Loss: 0.43190059918411 Server Test Accuracy: 68.15463917525773
====> i: 511 Loss: 0.4323644457711387 Server Test Accuracy: 67.87628865979381
====> i: 516 Loss: 0.42090041562146746 Server Test Accuracy: 68.58762886597938
====> i: 521 Loss: 0.43193385445887283 Server Test Accuracy: 68.03092783505154
====> i: 526 Loss: 0.4373258533858761 Server Test Accuracy: 68.11340206185567
====> i: 531 Loss: 0.4134149560455194 Server Test Accuracy: 67.96907216494846
====> i: 536 Loss: 0.4384325391852979 Server Test Accuracy: 67.45360824742268
====> i: 541 Loss: 0.42848803182852646 Server Test Accuracy: 67.71134020618557
====> i: 546 Loss: 0.43250888088314804 Server Test Accuracy: 67.96907216494844
====> i: 551 Loss: 0.4332130922023783 Server Test Accuracy: 67.45360824742268
====> i: 556 Loss: 0.4347062035473352 Server Test Accuracy: 67.80412371134021
====> i: 561 Loss: 0.4250782981668551 Server Test Accuracy: 67.92783505154638
====> i: 566 Loss: 0.42084248917004496 Server Test Accuracy: 68.52577319587628
====> i: 571 Loss: 0.4267024590643411 Server Test Accuracy: 68.15463917525774
====> i: 576 Loss: 0.42104288499379894 Server Test Accuracy: 67.94845360824743
====> i: 581 Loss: 0.4198515226085162 Server Test Accuracy: 67.65979381443297
====> i: 586 Loss: 0.41019172772918777 Server Test Accuracy: 68.29896907216495
====> i: 591 Loss: 0.42030548878859003 Server Test Accuracy: 68.08247422680411
====> i: 596 Loss: 0.4168350104818639 Server Test Accuracy: 68.69072164948453
====> i: 601 Loss: 0.4252013353496483 Server Test Accuracy: 68.10309278350516
====> i: 606 Loss: 0.4030016592329311 Server Test Accuracy: 67.94845360824743
====> i: 611 Loss: 0.4076850719365877 Server Test Accuracy: 68.7422680412371
====> i: 616 Loss: 0.4012683132413737 Server Test Accuracy: 67.63917525773196
====> i: 621 Loss: 0.4046921412354893 Server Test Accuracy: 67.72164948453609
====> i: 626 Loss: 0.41228794049970885 Server Test Accuracy: 68.73195876288659
====> i: 631 Loss: 0.4082943171877222 Server Test Accuracy: 68.81443298969072
====> i: 636 Loss: 0.4094344391958001 Server Test Accuracy: 68.05154639175258
====> i: 641 Loss: 0.41340636423568133 Server Test Accuracy: 68.43298969072166
====> i: 646 Loss: 0.4001898950369087 Server Test Accuracy: 68.46391752577321
====> i: 651 Loss: 0.3931939170839861 Server Test Accuracy: 67.93814432989691
====> i: 656 Loss: 0.40735218125520295 Server Test Accuracy: 68.4742268041237
====> i: 661 Loss: 0.3945868343575713 Server Test Accuracy: 68.58762886597938
====> i: 666 Loss: 0.4053189902115114 Server Test Accuracy: 68.24742268041236
====> i: 671 Loss: 0.40318747637505387 Server Test Accuracy: 68.56701030927837
====> i: 676 Loss: 0.3932483974191331 Server Test Accuracy: 68.38144329896907
====> i: 681 Loss: 0.3919009725303994 Server Test Accuracy: 68.3917525773196
====> i: 686 Loss: 0.3960941788001159 Server Test Accuracy: 68.26804123711341
====> i: 691 Loss: 0.3930612952746066 Server Test Accuracy: 68.68041237113401
====> i: 696 Loss: 0.3735311109687864 Server Test Accuracy: 68.27835051546391
====> i: 701 Loss: 0.38241031321975383 Server Test Accuracy: 68.56701030927836
====> i: 706 Loss: 0.3898369252374492 Server Test Accuracy: 69.0515463917526
====> i: 711 Loss: 0.38746414831311426 Server Test Accuracy: 68.45360824742266
