dataset - sampling - sim_type - seed - n_SGD - lr - decay - p - force - gpu - mu
['MNIST_shard', 'clustered_1', 'any', '0', '50', '0.01', '1.0', '0.1', 'True', '0']
number of iterations 600
batch size 50
percentage of sampled clients 0.1
metric_period 2
regularization term 0.0
MNIST_shard_clustered_1_any_i600_N50_lr0.01_B50_d1.0_p0.1_m2_0
./data/MNIST_shard_train_100_500.pkl
./data/MNIST_shard_test_100_80.pkl
number fo sampled clients 10
NN(
  (fc1): Linear(in_features=784, out_features=50, bias=True)
  (fc3): Linear(in_features=50, out_features=10, bias=True)
)
Clients' weights: [0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01]
====> i: 0 Loss: 2.3104257225990295 Test Accuracy: 11.512
====> i: 1 Loss: 2.2640930223464966 Server Test Accuracy: 14.474999999999998
====> i: 3 Loss: 2.163804833889008 Server Test Accuracy: 26.950000000000003
====> i: 5 Loss: 2.068682918548584 Server Test Accuracy: 39.1
====> i: 7 Loss: 1.9883721613883971 Server Test Accuracy: 50.6
====> i: 9 Loss: 1.9195884227752684 Server Test Accuracy: 57.575
====> i: 11 Loss: 1.8601617681980134 Server Test Accuracy: 60.4125
====> i: 13 Loss: 1.8061746299266817 Server Test Accuracy: 62.28750000000001
====> i: 15 Loss: 1.7557736480236055 Server Test Accuracy: 64.4625
====> i: 17 Loss: 1.7094701445102691 Server Test Accuracy: 66.95
====> i: 19 Loss: 1.6665450918674467 Server Test Accuracy: 67.48750000000001
====> i: 21 Loss: 1.6273891639709472 Server Test Accuracy: 67.9375
====> i: 23 Loss: 1.5903897619247438 Server Test Accuracy: 69.43749999999999
====> i: 25 Loss: 1.5568614208698273 Server Test Accuracy: 69.7125
====> i: 27 Loss: 1.5227078676223755 Server Test Accuracy: 70.86250000000003
====> i: 29 Loss: 1.4933454382419584 Server Test Accuracy: 71.0625
====> i: 31 Loss: 1.4636819589138033 Server Test Accuracy: 71.60000000000001
====> i: 33 Loss: 1.4364835578203201 Server Test Accuracy: 71.96249999999999
====> i: 35 Loss: 1.409938628077507 Server Test Accuracy: 72.75
====> i: 37 Loss: 1.3856277638673784 Server Test Accuracy: 72.66250000000001
====> i: 39 Loss: 1.3616581958532337 Server Test Accuracy: 72.975
====> i: 41 Loss: 1.3379755884408948 Server Test Accuracy: 73.625
====> i: 43 Loss: 1.3171089661121367 Server Test Accuracy: 74.05
====> i: 45 Loss: 1.2958227014541628 Server Test Accuracy: 74.8375
====> i: 47 Loss: 1.2771857166290281 Server Test Accuracy: 74.52499999999999
====> i: 49 Loss: 1.2573939710855482 Server Test Accuracy: 75.08749999999998
====> i: 51 Loss: 1.2389450997114182 Server Test Accuracy: 75.975
====> i: 53 Loss: 1.222762970328331 Server Test Accuracy: 75.57499999999999
====> i: 55 Loss: 1.2045077168941496 Server Test Accuracy: 75.525
====> i: 57 Loss: 1.189049487411976 Server Test Accuracy: 75.675
====> i: 59 Loss: 1.1733096638321876 Server Test Accuracy: 76.1875
====> i: 61 Loss: 1.1583913001418116 Server Test Accuracy: 76.5875
====> i: 63 Loss: 1.144757061898708 Server Test Accuracy: 76.43750000000001
====> i: 65 Loss: 1.1309456688165667 Server Test Accuracy: 76.58749999999999
====> i: 67 Loss: 1.1165307089686394 Server Test Accuracy: 77.325
====> i: 69 Loss: 1.1028156629204748 Server Test Accuracy: 77.5125
====> i: 71 Loss: 1.09056891143322 Server Test Accuracy: 78.06249999999999
====> i: 73 Loss: 1.0786590731143952 Server Test Accuracy: 78.1625
====> i: 75 Loss: 1.0674617817997931 Server Test Accuracy: 78.14999999999999
====> i: 77 Loss: 1.0554099923372269 Server Test Accuracy: 78.19999999999999
====> i: 79 Loss: 1.043266114294529 Server Test Accuracy: 78.5375
====> i: 81 Loss: 1.0345017269253731 Server Test Accuracy: 78.7
====> i: 83 Loss: 1.024656962156296 Server Test Accuracy: 78.65
====> i: 85 Loss: 1.0144798508286474 Server Test Accuracy: 78.97500000000001
====> i: 87 Loss: 1.0036523413658143 Server Test Accuracy: 78.96249999999999
====> i: 89 Loss: 0.9946043398976326 Server Test Accuracy: 79.26250000000002
====> i: 91 Loss: 0.9860931965708732 Server Test Accuracy: 79.175
====> i: 93 Loss: 0.9785535058379174 Server Test Accuracy: 79.3875
====> i: 95 Loss: 0.968418481051922 Server Test Accuracy: 79.24999999999999
====> i: 97 Loss: 0.9592785540223123 Server Test Accuracy: 79.73750000000001
====> i: 99 Loss: 0.9528641679883002 Server Test Accuracy: 79.65
====> i: 101 Loss: 0.9473495709896088 Server Test Accuracy: 79.5625
====> i: 103 Loss: 0.9388023754954338 Server Test Accuracy: 79.75
====> i: 105 Loss: 0.9298924213647842 Server Test Accuracy: 80.30000000000001
====> i: 107 Loss: 0.922561599612236 Server Test Accuracy: 79.9625
====> i: 109 Loss: 0.9149499836564065 Server Test Accuracy: 80.38749999999999
====> i: 111 Loss: 0.9077958056330682 Server Test Accuracy: 80.675
====> i: 113 Loss: 0.9013749593496322 Server Test Accuracy: 80.5125
====> i: 115 Loss: 0.8962912899255753 Server Test Accuracy: 80.525
====> i: 117 Loss: 0.8882410389184953 Server Test Accuracy: 80.625
====> i: 119 Loss: 0.8846258488297463 Server Test Accuracy: 80.58749999999999
====> i: 121 Loss: 0.8778781989216804 Server Test Accuracy: 80.63750000000002
====> i: 123 Loss: 0.8704617938399315 Server Test Accuracy: 81.0625
====> i: 125 Loss: 0.8650349351763726 Server Test Accuracy: 81.2
====> i: 127 Loss: 0.858714935183525 Server Test Accuracy: 81.27499999999999
====> i: 129 Loss: 0.8540492337942124 Server Test Accuracy: 81.21249999999999
====> i: 131 Loss: 0.8481183391809465 Server Test Accuracy: 81.44999999999999
====> i: 133 Loss: 0.8427747121453286 Server Test Accuracy: 81.25
====> i: 135 Loss: 0.8375668650865555 Server Test Accuracy: 81.5875
====> i: 137 Loss: 0.8319858020544052 Server Test Accuracy: 81.7125
====> i: 139 Loss: 0.8286883959174155 Server Test Accuracy: 81.57500000000002
====> i: 141 Loss: 0.8244337630271912 Server Test Accuracy: 81.60000000000001
====> i: 143 Loss: 0.8191753074526786 Server Test Accuracy: 81.71249999999999
====> i: 145 Loss: 0.8159442599117755 Server Test Accuracy: 81.73750000000001
====> i: 147 Loss: 0.8113399755954743 Server Test Accuracy: 81.75
====> i: 149 Loss: 0.8043550083041191 Server Test Accuracy: 81.83749999999999
====> i: 151 Loss: 0.8014236630499363 Server Test Accuracy: 81.87500000000001
====> i: 153 Loss: 0.7954132053256036 Server Test Accuracy: 82.37499999999999
====> i: 155 Loss: 0.792675363868475 Server Test Accuracy: 82.26249999999999
====> i: 157 Loss: 0.7871132594347001 Server Test Accuracy: 82.36250000000001
====> i: 159 Loss: 0.7871265453100205 Server Test Accuracy: 82.1
====> i: 161 Loss: 0.7816406328976153 Server Test Accuracy: 82.3125
====> i: 163 Loss: 0.7775091879069808 Server Test Accuracy: 82.425
====> i: 165 Loss: 0.7738113301992416 Server Test Accuracy: 82.21249999999998
====> i: 167 Loss: 0.7704589039087295 Server Test Accuracy: 82.52499999999999
====> i: 169 Loss: 0.7663903659582139 Server Test Accuracy: 82.76249999999999
====> i: 171 Loss: 0.7612671230733393 Server Test Accuracy: 82.85
====> i: 173 Loss: 0.7583722826838492 Server Test Accuracy: 82.91250000000001
====> i: 175 Loss: 0.7555980290472506 Server Test Accuracy: 82.68749999999999
====> i: 177 Loss: 0.7510256426036359 Server Test Accuracy: 83.01249999999999
====> i: 179 Loss: 0.7489857439696788 Server Test Accuracy: 83.1
====> i: 181 Loss: 0.7468406011164188 Server Test Accuracy: 82.87499999999999
====> i: 183 Loss: 0.7423144055902958 Server Test Accuracy: 82.92500000000001
====> i: 185 Loss: 0.7369403891265393 Server Test Accuracy: 83.275
====> i: 187 Loss: 0.7345626313984394 Server Test Accuracy: 83.22500000000001
====> i: 189 Loss: 0.7323797680437566 Server Test Accuracy: 83.3
====> i: 191 Loss: 0.729437249749899 Server Test Accuracy: 83.18750000000001
====> i: 193 Loss: 0.7268479783833026 Server Test Accuracy: 83.24999999999999
====> i: 195 Loss: 0.7243314482271673 Server Test Accuracy: 83.3625
====> i: 197 Loss: 0.7228813794255257 Server Test Accuracy: 83.17500000000001
====> i: 199 Loss: 0.7186074754595756 Server Test Accuracy: 83.2625
====> i: 201 Loss: 0.716305745691061 Server Test Accuracy: 83.38750000000002
====> i: 203 Loss: 0.7137554962933064 Server Test Accuracy: 83.2875
====> i: 205 Loss: 0.7092492820322513 Server Test Accuracy: 83.47500000000001
====> i: 207 Loss: 0.7095371764898301 Server Test Accuracy: 83.3875
====> i: 209 Loss: 0.7037323246896267 Server Test Accuracy: 83.43750000000001
====> i: 211 Loss: 0.7041953366994856 Server Test Accuracy: 83.575
====> i: 213 Loss: 0.7017411549389363 Server Test Accuracy: 83.35
====> i: 215 Loss: 0.6978260637819765 Server Test Accuracy: 83.5625
====> i: 217 Loss: 0.6948027992248534 Server Test Accuracy: 83.68749999999999
====> i: 219 Loss: 0.6937275576591493 Server Test Accuracy: 83.775
====> i: 221 Loss: 0.6906987379491328 Server Test Accuracy: 83.81249999999999
====> i: 223 Loss: 0.6877820384502413 Server Test Accuracy: 83.75
====> i: 225 Loss: 0.6867697143554687 Server Test Accuracy: 83.975
====> i: 227 Loss: 0.6826835492253303 Server Test Accuracy: 84.0125
====> i: 229 Loss: 0.685338636636734 Server Test Accuracy: 83.85
====> i: 231 Loss: 0.6815826043486596 Server Test Accuracy: 83.975
====> i: 233 Loss: 0.6801935105025768 Server Test Accuracy: 83.8
====> i: 235 Loss: 0.6754938676953314 Server Test Accuracy: 84.1125
====> i: 237 Loss: 0.6730109524726868 Server Test Accuracy: 84.10000000000001
====> i: 239 Loss: 0.6721135415136815 Server Test Accuracy: 84.275
