dataset - sampling - sim_type - seed - n_SGD - lr - decay - p - force - gpu - mu
['MNIST_shard', 'clustered_2', 'cosine', '0', '50', '0.01', '1.0', '0.1', 'True', '0']
number of iterations 600
batch size 50
percentage of sampled clients 0.1
metric_period 2
regularization term 0.0
MNIST_shard_clustered_2_cosine_i600_N50_lr0.01_B50_d1.0_p0.1_m2_0
./data/MNIST_shard_train_100_500.pkl
./data/MNIST_shard_test_100_80.pkl
number fo sampled clients 10
NN(
  (fc1): Linear(in_features=784, out_features=50, bias=True)
  (fc3): Linear(in_features=50, out_features=10, bias=True)
)
Clients' weights: [0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01 0.01
 0.01 0.01]
====> i: 0 Loss: 2.3104257225990295 Test Accuracy: 11.512
====> i: 1 Loss: 2.2937577342987057 Server Test Accuracy: 10.0875
====> i: 3 Loss: 2.261871584653855 Server Test Accuracy: 17.775
====> i: 5 Loss: 2.1935062909126284 Server Test Accuracy: 14.7375
====> i: 7 Loss: 2.1435466969013217 Server Test Accuracy: 31.762500000000003
====> i: 9 Loss: 2.0303695476055146 Server Test Accuracy: 23.6
====> i: 11 Loss: 2.020535417199135 Server Test Accuracy: 31.2
====> i: 13 Loss: 2.0638686549663543 Server Test Accuracy: 43.7
====> i: 15 Loss: 1.9451469546556472 Server Test Accuracy: 39.75
====> i: 17 Loss: 1.9077911901473998 Server Test Accuracy: 43.2125
====> i: 19 Loss: 1.6827871537208559 Server Test Accuracy: 59.7875
====> i: 21 Loss: 1.714217014312744 Server Test Accuracy: 43.112500000000004
====> i: 23 Loss: 1.7009639555215839 Server Test Accuracy: 42.75
====> i: 25 Loss: 1.578312268257141 Server Test Accuracy: 66.75
====> i: 27 Loss: 1.598176184296608 Server Test Accuracy: 57.3
====> i: 29 Loss: 1.5288830924034118 Server Test Accuracy: 63.6375
====> i: 31 Loss: 1.47139450609684 Server Test Accuracy: 67.2875
====> i: 33 Loss: 1.4399392092227936 Server Test Accuracy: 69.7125
====> i: 35 Loss: 1.4121748465299608 Server Test Accuracy: 71.15
====> i: 37 Loss: 1.4233206266164777 Server Test Accuracy: 60.4125
====> i: 39 Loss: 1.3661379235982896 Server Test Accuracy: 71.4875
====> i: 41 Loss: 1.3413199722766878 Server Test Accuracy: 72.61250000000003
====> i: 43 Loss: 1.3184812426567079 Server Test Accuracy: 73.33749999999999
====> i: 45 Loss: 1.2983159798383712 Server Test Accuracy: 73.36250000000003
====> i: 47 Loss: 1.2786856007575989 Server Test Accuracy: 73.675
====> i: 49 Loss: 1.2595656895637513 Server Test Accuracy: 74.2875
