dataset - sampling - sim_type - seed - n_SGD - lr - decay - p - force - gpu - mu
['CIFAR10_nbal_0.01', 'clustered_1', 'any', '0', '100', '0.05', '1.0', '0.1', 'True', '0']
number of iterations 1000
batch size 50
percentage of sampled clients 0.1
metric_period 5
regularization term 0.0
CIFAR10_nbal_0.01_clustered_1_any_i1000_N100_lr0.05_B50_d1.0_p0.1_m5_0
./data/CIFAR10_nbal_0.01_train_100.pkl
./data/CIFAR10_nbal_0.01_test_100.pkl
number fo sampled clients 10
CNN_CIFAR_dropout(
  (conv1): Conv2d(3, 32, kernel_size=(3, 3), stride=(1, 1))
  (conv2): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1))
  (conv3): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
  (fc1): Linear(in_features=1024, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=10, bias=True)
  (dropout): Dropout(p=0.2, inplace=False)
)
Clients' weights: [0.00206186 0.00206186 0.00206186 0.00206186 0.00206186 0.00206186
 0.00206186 0.00206186 0.00206186 0.00206186 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464 0.00515464
 0.00515464 0.00515464 0.00515464 0.00515464 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928 0.01030928
 0.01030928 0.01030928 0.01030928 0.01030928 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392 0.01546392
 0.02061856 0.02061856 0.02061856 0.02061856 0.02061856 0.02061856
 0.02061856 0.02061856 0.02061856 0.02061856]
====> i: 0 Loss: 2.2880828999981433 Test Accuracy: 11.129896907216494
====> i: 1 Loss: 2.3752070564584633 Server Test Accuracy: 13.608247422680412
====> i: 6 Loss: 2.403713062251966 Server Test Accuracy: 13.639175257731958
====> i: 11 Loss: 2.0474581161725154 Server Test Accuracy: 26.927835051546392
====> i: 16 Loss: 2.0701193529306 Server Test Accuracy: 20.969072164948454
====> i: 21 Loss: 1.911313191394216 Server Test Accuracy: 28.804123711340207
====> i: 26 Loss: 1.8330142559464446 Server Test Accuracy: 31.2680412371134
====> i: 31 Loss: 1.876112213700088 Server Test Accuracy: 27.21649484536082
====> i: 36 Loss: 1.804647801463137 Server Test Accuracy: 29.29896907216495
====> i: 41 Loss: 1.723010518993299 Server Test Accuracy: 35.175257731958766
====> i: 46 Loss: 1.6821424636644187 Server Test Accuracy: 37.30927835051547
====> i: 51 Loss: 1.665800880402634 Server Test Accuracy: 38.89690721649485
====> i: 56 Loss: 1.5884275018554372 Server Test Accuracy: 42.8041237113402
====> i: 61 Loss: 1.5990077893758559 Server Test Accuracy: 42.206185567010294
====> i: 66 Loss: 1.6040146343486827 Server Test Accuracy: 41.18556701030927
====> i: 71 Loss: 1.5756377151331953 Server Test Accuracy: 42.175257731958766
====> i: 76 Loss: 1.6175222110502498 Server Test Accuracy: 40.17525773195876
====> i: 81 Loss: 1.4755651842073065 Server Test Accuracy: 46.76288659793814
====> i: 86 Loss: 1.4863815660943691 Server Test Accuracy: 46.74226804123712
====> i: 91 Loss: 1.5680176871953553 Server Test Accuracy: 42.865979381443296
====> i: 96 Loss: 1.5151691048415665 Server Test Accuracy: 45.938144329896915
====> i: 101 Loss: 1.5758741395375164 Server Test Accuracy: 42.68041237113402
====> i: 106 Loss: 1.4575942413094118 Server Test Accuracy: 46.29896907216495
====> i: 111 Loss: 1.4507704634027383 Server Test Accuracy: 47.29896907216496
====> i: 116 Loss: 1.4856521615048046 Server Test Accuracy: 47.123711340206185
====> i: 121 Loss: 1.438677852116909 Server Test Accuracy: 47.793814432989684
====> i: 126 Loss: 1.447648196736562 Server Test Accuracy: 47.84536082474227
====> i: 131 Loss: 1.4207191164960564 Server Test Accuracy: 48.412371134020624
====> i: 136 Loss: 1.4334320982092437 Server Test Accuracy: 49.52577319587628
====> i: 141 Loss: 1.4315809134355528 Server Test Accuracy: 48.5257731958763
====> i: 146 Loss: 1.3711721055286445 Server Test Accuracy: 50.371134020618555
====> i: 151 Loss: 1.4274559720889808 Server Test Accuracy: 48.46391752577319
====> i: 156 Loss: 1.4008301960438798 Server Test Accuracy: 49.77319587628867
====> i: 161 Loss: 1.4966586883535091 Server Test Accuracy: 47.12371134020619
====> i: 166 Loss: 1.3868676953709003 Server Test Accuracy: 50.536082474226795
====> i: 171 Loss: 1.3801629551907175 Server Test Accuracy: 49.48453608247423
====> i: 176 Loss: 1.4894851674124134 Server Test Accuracy: 47.391752577319586
====> i: 181 Loss: 1.4545714429973329 Server Test Accuracy: 49.98969072164948
====> i: 186 Loss: 1.3701193196871846 Server Test Accuracy: 50.24742268041238
====> i: 191 Loss: 1.3713111344686486 Server Test Accuracy: 51.2680412371134
====> i: 196 Loss: 1.3301176520352511 Server Test Accuracy: 52.391752577319586
====> i: 201 Loss: 1.381376460409656 Server Test Accuracy: 51.30927835051547
====> i: 206 Loss: 1.3745878983404218 Server Test Accuracy: 51.350515463917525
====> i: 211 Loss: 1.3854118336721792 Server Test Accuracy: 51.17525773195875
====> i: 216 Loss: 1.3456773107199327 Server Test Accuracy: 51.00000000000001
====> i: 221 Loss: 1.346489397152183 Server Test Accuracy: 51.47422680412372
====> i: 226 Loss: 1.3539273371401521 Server Test Accuracy: 51.55670103092783
====> i: 231 Loss: 1.4302165537150866 Server Test Accuracy: 49.79381443298969
====> i: 236 Loss: 1.4852340561212953 Server Test Accuracy: 47.41237113402062
====> i: 241 Loss: 1.3481806549829307 Server Test Accuracy: 51.2061855670103
====> i: 246 Loss: 1.3988361685546404 Server Test Accuracy: 51.06185567010309
====> i: 251 Loss: 1.410821663288726 Server Test Accuracy: 51.072164948453604
====> i: 256 Loss: 1.3480749483575525 Server Test Accuracy: 51.59793814432989
====> i: 261 Loss: 1.5310662712018515 Server Test Accuracy: 48.95876288659794
====> i: 266 Loss: 1.4138005345752558 Server Test Accuracy: 50.041237113402055
====> i: 271 Loss: 1.4680138102511768 Server Test Accuracy: 48.886597938144334
====> i: 276 Loss: 1.3389887051484022 Server Test Accuracy: 52.103092783505154
====> i: 281 Loss: 1.3382475377358112 Server Test Accuracy: 52.49484536082475
====> i: 286 Loss: 1.3418129944309747 Server Test Accuracy: 51.85567010309278
====> i: 291 Loss: 1.3441719689934524 Server Test Accuracy: 51.5979381443299
====> i: 296 Loss: 1.4542418101399215 Server Test Accuracy: 49.690721649484544
====> i: 301 Loss: 1.3491280039561162 Server Test Accuracy: 53.0
====> i: 306 Loss: 1.3762879957857823 Server Test Accuracy: 51.55670103092784
====> i: 311 Loss: 1.3436965634527893 Server Test Accuracy: 52.886597938144334
====> i: 316 Loss: 1.3578097111785534 Server Test Accuracy: 51.53608247422681
====> i: 321 Loss: 1.3376577905158407 Server Test Accuracy: 53.24742268041238
====> i: 326 Loss: 1.4665265140459707 Server Test Accuracy: 49.61855670103093
====> i: 331 Loss: 1.2965774185878718 Server Test Accuracy: 52.855670103092784
====> i: 336 Loss: 1.2966983398825853 Server Test Accuracy: 52.97938144329897
====> i: 341 Loss: 1.322218136320409 Server Test Accuracy: 53.453608247422686
====> i: 346 Loss: 1.3008372387320728 Server Test Accuracy: 54.360824742268036
====> i: 351 Loss: 1.3203269603326149 Server Test Accuracy: 53.587628865979376
====> i: 356 Loss: 1.325883515901172 Server Test Accuracy: 53.35051546391753
====> i: 361 Loss: 1.3704033228539931 Server Test Accuracy: 52.56701030927836
====> i: 366 Loss: 1.289442960626071 Server Test Accuracy: 53.80412371134021
====> i: 371 Loss: 1.3684133591111176 Server Test Accuracy: 51.83505154639175
====> i: 376 Loss: 1.3291138254490096 Server Test Accuracy: 53.01030927835051
====> i: 381 Loss: 1.3000745378818708 Server Test Accuracy: 52.649484536082475
====> i: 386 Loss: 1.3245161938913093 Server Test Accuracy: 52.443298969072174
====> i: 391 Loss: 1.310397431469455 Server Test Accuracy: 52.75257731958763
====> i: 396 Loss: 1.341117188303741 Server Test Accuracy: 52.15463917525774
====> i: 401 Loss: 1.2751717083847398 Server Test Accuracy: 53.78350515463918
